id,article,name,price,discount,manufacturer_id,pharmaceutical_form_id,description
1,FH001R,"""Феникс"" Fohow",2700,0,3,18,"Эликсир Fohow на основе линчжи и кордицепса обладает оздоровительными, лечебными свойствами, может применяться при различных заболеваниях и патологиях, для профилактики онкологических болезней. Средство разработано по современной технологии на основе натуральных растительных экстрактов с учетом потребностей человеческого организма, поэтому является не токсичным и безопасным. Эликсир является уникальным, так как действует на молекулярном уровне, всесторонне оздоравливает организм, улучшает жизненно важные процессы."
2,FH001R,"""Линчжи"" Fohow",1800,0,3,3,"Кордицепс китайский в сочетании с высококачественным Линчжи способен очень быстро и максимально обеспечить головной мозг человека необходимыми питательными компонентами, повышать функциональные способности головного мозга."
3,FH001R,"""Лювей Феникс"" Fohow",1350,0,3,13,"Регулярный прием в пищу полезен для пищевода, способствует пищеварению, оживляет кровь, убирает застойные явления, убирает жар; является детоксикантом, имеет косметический эффект, способствует понижению давления, снижает содержание жиров в крови, восстанавливает жизненную энергию, эффективный диуретик и др."
4,FH001R,"""Роза Феникс"" Fohow",1350,0,3,2,"ЖКТ человека становится приютом для многочисленных бактерий. Условно их можно разделить на полезные, вредные и нейтральные. Если в организме больше полезных бактерий, человек выглядит здоровым. Наиболее полезны бифидобактерии, которые активизируют усвоение питательных веществ в кишечнике, повышают иммунитет, лечат запор и понос, отвечают за понижение уровня жиров в крови, замедляют рост патогенной флоры кишечника и гнилостных бактерий и др. Через несколько часов после рождения младенца на свет в его кишечнике начинают появляться бифидобактерии. По прошествии 1–2 недель бифидобактерии приобретают абсолютное лидерство в кишечнике. И это одна из главных причин сильного иммунитета у младенцев! С возрастом количество бифидобактерий в организме уменьшается, а свято место пусто не бывает, поэтому в кишечник стремятся различные болезнетворные бактерии."
5,FH001R,"""Саньцин Феникс"" Fohow",3600,0,3,18,"В состав продукта входит более 10-ти компонентов ТКМ: биоиммунорегулятор - экстракт Гериция решетчатовидного (гриб Львиная голова), основные компоненты: гель Алоэ-кюрасао и олигосахариды, а также другие компоненты (хризантема, жимолость и т.д.) как вспомогательный состав. Благодаря высоким технологиям, активные компоненты сырья полностью сохранены в готовом продукте и легко усваиваются организмом. Эликсир Саньцин Феникс является абсолютно натуральным продуктом для восстановительного оздоровительного питания."
6,FH001R,"""Сюэчинфу"" Fohow",5400,0,3,13,"Абсолютно натуральный продукт Сюэчинфу обладает сильным действием по предупреждению тромбообразования, снижает хрупкость кровеносных сосудов, повышает их эластичность. Содержит природный соевый фермент наттокиназу, который в ходе целого ряда экспериментов доказал эффективное долгосрочное действие, направленное на тромбы крови."
7,FH001R,"""Босс"" Fohow на основе белого чая",2700,0,3,13,"Белый чай - это всемирно известный элитный сорт китайского чая. Его собирают вручную, снимая с кустов только верхние нежные почки и молодые листочки. После заваривания чай приобретает золотисто-зеленый цвет, обладает легким вкусом и приятным ароматом."
8,FH001R,"""Гаосен Феникс"" Fohow",4050,0,3,8,"Таблетки Гаосен Феникс будут отличным помощником людям страдающих избыточным весом, которые стремятся вернуться к своей идеальной фигуре. Также они будут полезны людям имеющие такие заболевания как гипертония, гипергликемия, диабет. Таблетки Гаосен состоят из многих полезных элементов: спирулина, натуральная клетчатка из фруктов, высокоплотный хитозан, конжаковая камедь."
9,FH001R,"Эликсир ""Три Драгоценности Феникс"" Fohow",3600,0,3,18,"Эликсир создан на основе эликсира ""Феникс"" с добавлением нового компонента – горных муравьев Polyrhachis vicina Roger (Pv Roger). В каждом флаконе конечного продукта в среднем содержится 300-307 особей. В процессе производства они подверглись инактивации заморозкой, при этом были использованы технологии субнанометрического дробления клеточной мембраны и криоэкстрагирования, что позволило использовать до 98% полезных веществ исходного сырья (горных муравьев)."
10,FH001R,"""Хайцао Гай"" Fohow - жидкий кальций",2700,0,3,1,"С течением лет организм человека слабеет, замедляется обмен веществ, процесс восстановления мышечной и костной ткани. Предотвратить развитие проблем с опорно-двигательным аппаратом, улучшить состояние зубов, избавиться от витаминной и минеральной недостаточности возможно с препаратом, созданным медиками корпорации «Феникс» — капсулами Хайцао Гай."
11,FH001R,Fohow,117900,0,3,4,"Биоэнергетический массажер Fohow, аппарат Fohow является физиотерапевтическим прибором, сочетает возможности передовой медицины и традиционных китайских методов лечения заболеваний. Уникальный прибор разработан на основе последних достижений в области неврологии, энергетики. Устройство оказывает комплексный эффект на организм, налаживает поступление энергии по каналам, положительно воздействует на активные биологические точки. Благодаря последним достижениям медицины, энергомассажер «Феникс» сочетает методики вакуумной терапии, иглоукалывания, лечебных массажей туйна и гуаша. Использование аппарата позволяет наладить микроциркуляцию крови, провести профилактику заболеваний, восстановить энергетический баланс внутренних органов."
12,FH001R,Fohow 3.0 нового поколения (с УЗ-насадкой),160200,0,3,4,"Инструкция по использованию биоэнергомассажера Fohow 3 поколения

4. Использование пульта дистанционного управления:

1. Вы можете использовать пульт дистанционного управления во время работы в режиме EMS.
2. Кнопки на пульте дистанционного управления рядом с надписью «LEVEL» соответствуют кнопкам «+»/ «-» на панели прибора.
3. Кнопки на пульте дистанционного управления рядом с надписью ""ТЕМЕ"" соответствуют кнопкам «+ » / «-» на панели прибора.
4. Кнопка на пульте дистанционного управления рядом с надписью «MODE» соответствует кнопкам / на панели прибора."
13,FH001R,Fohow (набор 10шт.),3150,0,3,17,"Внешне перчатки имеют вид светло-серого вязаного изделия. Они обладают прекрасной электропроводностью, антибактериальными и антирадиационными свойствами."
14,FH001R,Массажный гель для биоэнергомассажера Fohow,900,0,3,15,"Действие биоэнергомассажера значительно усиливается, если при работе с ним использовать массажный гель компании Fohow (Фохоу). Это натуральный продукт на основе экстрактов растений, разработанный НИИ компании специально для применения с биоэнергомассажером (БЭМ). Он увлажняет, смягчает, питает кожу, совершенно безопасен в употреблении, не вызывает аллергии. А самое главное он обеспечивает высокую проводимость биоэнергомассажера."
15,FH001R,Ян-Шэн Fohow,3600,0,3,14,"О продукте
Это результат разработок руководителя НИИ компании Fohow, выдающегося эксперта традиционной китайской медицины академика Тан Ю Чжи и известного специалиста в области современных технологий экстрагирования лекарственных компонентов традиционной китайской медицины профессора Чжан Цзяхэн."
16,TV,Тайга 8 EXTRA,3490,0,2,22,"Описание

Уникальный концентрат с увеличенным содержанием клеточного сока пихты.
      С его помощью можно приготовить ароматный витаминно-энергетический напиток с необыкновенным хвойным вкусом. Это идеальный выбор для людей, ведущих активный образ жизни, для спортсменов и поклонников фитнеса.


       Благодаря двойному содержанию клеточного сока пихты напиток имеет усиленные антиоксидантные свойства. Он делает вас бодрее и выносливее, сокращает время восстановления после нагрузок и помогает справляться с оксидативным стрессом – главной причиной утомления.

Мощные антиоксидантные свойства железо-мальтольного комплекса активизируют естественную защиту организма от городской среды
Биодоступное железо насыщает ткани кислородом
Полипренолы стимулируют энергообмен и запускают процессы омоложения организма на клеточном уровне
Оригинальная щадящая технология обработки сырья позволяет сохранить неизменными все полезные природные вещества, содержащиеся в живой хвое.
       Просто растворите концентрат в половине стакана воды или любой другой жидкости, и наслаждайтесь необыкновенным вкусом тайги!

ЭФФЕКТ Т8 Extra
восстановление и оптимизация энергообмена, увеличение естественного энергетического потенциала и борьба с возрастными энергетическими сдвигами
усиление естественной антиоксидантной защиты организма
повышение умственной и физической работоспособности, улучшение памяти
защита от возрастного ослабления интеллектуальных способностей
укрепление нервной системы, защита от стрессов и переутомления
восстановление и нормализация функций печени
укрепление сердечной мышцы, нормализация ее сократительной активности, защита от инфарктов
активизация процессов регенерации кожи, улучшение ее внешнего вида и внутреннего состояния
укрепление волос и ногтей, стимуляция их роста
нормализация гормонального фона, улучшение репродуктивной функции
отличное самочувствие и прекрасное настроение каждый день"
17,TV,Тайга 8 Blend,3490,0,2,22,"Описание

Т8 Blend – сочетание SibXP®Complex и соков шести лучших таежных ягод.
Клеточный коктейль молодости Т8 Blend – это продукт, который дарит бодрость, отличное настроение и ни с чем не сравнимое удовольствие от яркого букета вкусов и ароматов! Это идеальный выбор для всей семьи.

Основа коктейля – SibXP®Complex, действие которого дополняется и усиливается соками шести лучших таежных ягод:
Жимолость укрепляет иммунитет, улучшает пищеварение, очищает организм от шлаков и токсинов
Черника защищает от свободных радикалов, улучшает зрение и память
Облепиха борется со стрессами, переутомлением и плохим настроением
Клюква тонизирует, повышает умственную и физическую активность
Голубика замедляет процессы старения клеток и способствует регенерации кожи
Брусника укрепляет сосуды и восстанавливает обмен веществ

         Прямой отжим и бережная обработка сохраняют не только живой вкус и аромат ягод, но и все содержащиеся в них ценные вещества.

Эффект Т8 Blend:
• Восстанавливает энергообмен, усиливая образование энергии в клетках
• Повышает умственную и физическую работоспособность, улучшает память
• Борется со стрессами, улучшает настроение, защищает от депрессии
• Усиливает естественную антиоксидантную защиту организма и замедляет процессы старения
• Улучшает внешний вид и внутреннее состояние кожи и волос, стимулирует обновление тканей, борется с возрастными изменениями
• Укрепляет сердце и сосуды, нормализует работу печени
• Укрепляет нервную систему, защищает нервные клетки от разрушения
• Укрепляет иммунитет, помогает бороться с сезонными простудами и инфекционными заболеваниями
• Улучшает гормональный фон и репродуктивные функции"
18,TV,T8 MIT UP,2990,0,2,1,"Основными активными ингредиентами T8 MIT UP являются концентрированный экстракт граната и комплекс SibXP.

Чем полезен для митохондрий гранатовый сок?

Гранатовый сок является одним из богатейших природных источников полифенольных соединений, называемых эллаготанинами. В нашем кишечнике они быстро распадаются с образованием эллаговой кислоты. Микробиота тонкого кишечника перерабатывает его, и в результате получается вещество, называемое уролитин А.
Уролитин А критически необходим для поддержания здоровья митохондриального пула во всех клетках нашего организма. Это соединение инициирует процессы митофагии-разрушения митохондрий, поврежденных в результате окислительного стресса. После этого в клетке начинают интенсивно формироваться новые, полноценные митохондрии, способные вырабатывать больше энергии. Исследования показали, что дефицит уролитина А является одним из важных факторов преждевременного клеточного старения из - за недостаточного энергоснабжения клеток большинства органов. Кроме того, в эксперименте приток уролитина А значительно улучшил переносимость физического и психического стресса за счет улучшения выработки энергии в митохондриях.
Какие полипренолы полезны для митохондрий?

Вторым компонентом T8 MIT UP является комплекс SibXP, содержащий полипренолы, сок пихтовых клеток и хвойную пасту CGNC. Для поддержания нормального функционирования митохондриального пула и обеспечения адекватной выработки энергии в первую очередь важны антиоксидантные свойства полипренолов. Во время синтеза молекул АТФ на мембранах митохондрий образуются свободные радикалы. И чем выше стрессовые условия, в которых работают митохондрии, тем больше таких веществ появляется. Свободные радикалы повреждают как сами мембраны, так и внутренние структуры митохондрий, нарушая их функции и в конечном итоге приводя к гибели митохондрий. Полипренолы химически связывают свободные радикалы, тем самым нейтрализуя их агрессивность.
Как использовать T8 MIT UP?

Только 1 пакетик T8 MIT UP, принимаемый утром за 30 минут до еды, поможет вам сохранить здоровье митохондрий в каждой клетке вашего тела. Это обеспечит вам приток сил и энергии, которых хватит как для продуктивного рабочего дня, так и для насыщенного вечера в кругу семьи или друзей.

Состав: гидролизат коллагена, очищенная вода, комплекс SibXP, экстракт граната, концентрат гранатового сока (уролитин А), натуральный экстракт стевии.

Пакетики в упаковке: 21 шт. х 10 г.

Вес нетто: 210 г.

Противопоказания: аллергия на куриный белок и уксусную кислоту, индивидуальная непереносимость компонентов.

Срок годности: 1 год."
